team,no,pos,player,birth_date,age,caps,goals,club,club_country,nn,mins,op_rate90,pen_per90,role,g,npxg,sh90,mn,exp_min,exp_shots_match,is_taker,pen_rate90,exp_g90,exp_g_match
Spain,7,FW,Ferran Torres,2000-02-29,26,57,24,Barcelona,Spain,ferran torres,5689.0,0.5286329614281742,0.0,FWD,44.0,36.17,3.168607552715523,5689.0,25.125,0.8845696084664169,False,0.0,0.5286329614281742,0.14757670173203197
Spain,8,MF,Fabián Ruiz,1996-04-03,30,42,6,Paris Saint-Germain,France,fabian ruiz,7926.0,0.15172440518346628,0.0,MID,12.0,14.32,1.777507198524672,7926.0,71.046875,1.403181463835362,False,0.0,0.15172440518346628,0.11977272055021201
Spain,9,MF,Gavi,2004-08-05,21,30,5,Barcelona,Spain,gavi,3252.0,0.09356340910495564,0.0,MID,3.0,2.69,0.8135173441238737,3252.0,58.59375,0.5296336875806469,False,0.0,0.09356340910495564,0.06091367780270549
Spain,10,FW,Dani Olmo,1998-05-07,28,50,12,Barcelona,Spain,dani olmo,6528.0,0.275156390222655,0.021783088235294096,MID,28.0,22.16,2.909178955716526,6528.0,49.09090909090909,1.5868248849362871,False,0.0,0.275156390222655,0.15008530375781182
Spain,11,FW,Yéremy Pino,2002-10-20,23,23,4,Crystal Palace,England,yeremy pino,,0.3,0.0,,,,2.2,0.0,70.0,1.7111111111111112,False,0.0,0.3,0.23333333333333334
Spain,12,DF,Pedro Porro,1999-09-13,26,18,0,Tottenham Hotspur,England,pedro porro,10871.0,0.0650283546840711,0.0,DEF,9.0,7.920000000000001,1.3020132989210813,10871.0,58.71428571428571,0.8494086759628006,False,0.0,0.0650283546840711,0.042423259960560664
Spain,13,GK,Joan Garcia,2001-05-04,25,2,0,Barcelona,Spain,joan garcia,6922.0,0.00021135183644740776,0.0009101415775787346,GK,0.0,0.0,0.013020511614107975,6922.0,85.0,0.012297149857768643,False,0.0,0.00021135183644740776,0.0001996100677558851
Spain,14,DF,Aymeric Laporte,1994-05-27,32,46,2,Athletic Bilbao,Spain,aymeric laporte,3181.0,0.051804224863979946,0.0,DEF,1.0,2.06,0.6983652528050449,3181.0,88.63636363636364,0.6877839610958776,False,0.0,0.051804224863979946,0.051019312366040855
Spain,15,MF,Álex Baena,2001-07-20,24,17,2,Atlético Madrid,Spain,alex baena,7818.0,0.1805825037416958,0.01818879508825785,MID,14.0,17.8,2.197166134381931,7818.0,34.285714285714285,0.8370156702407356,False,0.0,0.1805825037416958,0.06879333475874125
Spain,16,MF,Rodri (captain),1996-06-22,29,62,4,Manchester City,England,rodri,7551.0,0.1084403392778241,0.0,MID,11.0,8.23,1.5090917263273202,7551.0,82.85714285714286,1.389322541698168,False,0.0,0.1084403392778241,0.09983396314466346
Spain,17,FW,Nico Williams,2002-07-12,23,30,6,Athletic Bilbao,Spain,nico williams,8186.0,0.24795702068405995,0.017261177620327393,FWD,25.0,20.7,2.485011360446548,8186.0,72.85204081632654,2.011534989558745,False,0.0,0.24795702068405995,0.20071305546188734
Spain,18,MF,Martín Zubimendi,1999-02-02,27,26,3,Arsenal,England,martin zubimendi,11847.0,0.08917861121357332,0.0,MID,13.0,10.559999999999999,0.7494408656488435,11847.0,57.46153846153846,0.4784891680681077,False,0.0,0.08917861121357332,0.05693711331328142
Spain,19,FW,Lamine Yamal,2007-07-13,18,25,6,Barcelona,Spain,lamine yamal,10991.0,0.30544498415633725,0.0517514329906287,FWD,45.0,36.790000000000006,3.813488422727178,10991.0,74.97448979591837,3.1768260981845744,False,0.0,0.30544498415633725,0.2544509094204862
Spain,20,MF,Pedri,2002-11-25,23,41,6,Barcelona,Spain,pedri,9269.0,0.1036203980922053,0.007670730391628016,MID,11.0,10.219999999999999,0.8753167148172636,9269.0,58.71428571428571,0.5710399520474528,False,0.0,0.1036203980922053,0.0675999739934863
Spain,21,FW,Mikel Oyarzabal,1997-04-21,29,53,25,Real Sociedad,Spain,mikel oyarzabal,9203.0,0.32235834300717825,0.13876996631533192,FWD,45.0,33.64,2.0983903677063886,9203.0,44.6,1.039869004441166,True,0.14410727271207546,0.4664656157192537,0.23115962734531909
Spain,22,DF,Pau Cubarsí,2007-01-22,19,12,0,Barcelona,Spain,pau cubarsi,9024.0,0.023864279330645975,0.0,DEF,1.0,1.98,0.28270581417121315,9024.0,79.72972972972973,0.25044509063215575,False,0.0,0.023864279330645975,0.021141028235857545
Spain,23,GK,Unai Simón,1997-06-11,29,58,0,Athletic Bilbao,Spain,unai simon,10204.0,0.00015565433145139102,0.0,GK,0.0,0.0,0.0004558278657643198,10204.0,92.0,0.00046595737389241575,False,0.0,0.00015565433145139102,0.00015911331659475525
Spain,24,DF,Marc Cucurella,1998-07-22,27,24,1,Chelsea,England,marc cucurella,9966.0,0.06517131328617207,0.0,DEF,8.0,7.36,0.5706867480324098,9966.0,92.0,0.5833686757664633,False,0.0,0.06517131328617207,0.06661956469253144
