player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Jan Kuchta,Czech Republic,FW,29,31,3,0.037812129387307165,0.1576,1.0,0.0
Carlos Acevedo,Mexico,GK,30,7,0,7.199259195950153e-05,0.0008,0.0,0.0
Santiago Giménez,Mexico,FW,25,47,6,0.04675821378807588,0.42995,1.0,0.0
Alexis Vega,Mexico,FW,28,52,7,0.05342863912442852,0.49905,1.0,0.0
Álvaro Fidalgo,Mexico,MF,29,4,0,0.01420653814667497,0.1365,1.0,0.0
Luis Romo,Mexico,MF,31,63,4,0.0284582481157559,0.26665,1.0,0.0
Érik Lira,Mexico,MF,26,25,0,0.005919390894447904,0.05575,0.0,0.0
Yoel Bárcenas,Panama,MF,32,104,10,0.0733118042139369,0.213,1.0,0.0
Roderick Miller,Panama,DF,34,50,2,0.01319432574087719,0.03845,0.0,0.0
Carlos Harvey,Panama,DF,26,28,3,0.023233183103512852,0.0633,0.0,0.0
Michael Amir Murillo,Panama,DF,30,94,9,0.060431097845953415,0.1735,1.0,0.0
Orlando Mosquera,Panama,GK,31,48,0,4.61914172945581e-05,5e-05,0.0,0.0
César Yanis,Panama,MF,30,56,5,0.03638780604189217,0.1048,1.0,0.0
Aníbal Godoy (captain),Panama,MF,36,159,4,0.03369799748747703,0.1007,0.0,0.0
Alberto Quintero,Panama,MF,38,141,7,0.054310622502238066,0.15715,1.0,0.0
Cecilio Waterman,Panama,FW,35,55,15,0.10965950726862375,0.31635,1.0,0.0
José Fajardo,Panama,FW,32,68,17,0.1259465981947074,0.3668,1.0,0.0
Andrés Andrade,Panama,DF,27,50,1,0.007330180967153994,0.02185,0.0,0.0
Eric Davis,Panama,DF,35,107,9,0.0613980804209458,0.1759,1.0,0.0
Azarias Londoño,Panama,FW,24,11,0,0.030024421241462762,0.0869,0.0,0.0
Joel Waterman,Canada,DF,30,17,0,0.0013728496191696394,0.0109,0.0,0.0
Luc de Fougerolles,Canada,DF,20,13,0,0.0015762347479355118,0.0133,0.0,0.0
Alfie Jones,Canada,DF,28,2,0,0.0026598961371411766,0.023,0.0,0.0
Alistair Johnston,Canada,DF,27,58,1,0.007534748520351075,0.06965,0.0,0.0
Dayne St. Clair,Canada,GK,29,20,0,3.4046670555407064e-05,0.0003,0.0,0.0
Ermin Mahmić,Bosnia and Herzegovina,MF,21,2,0,0.01740348657941985,0.09015,0.0,0.0
Jovo Lukić,Bosnia and Herzegovina,FW,27,3,0,0.04713444281926209,0.2327,1.0,0.0
Nidal Čelik,Bosnia and Herzegovina,DF,19,2,0,0.004418854014305821,0.0224,0.0,0.0
Kamogelo Sebelebele,South Africa,FW,23,3,0,0.040408590124354535,0.07025,0.0,0.0
Martin Zlomislić,Bosnia and Herzegovina,GK,27,3,0,8.56989869441129e-05,0.0003,0.0,0.0
Stjepan Radeljić,Bosnia and Herzegovina,DF,28,5,0,0.003721140222573323,0.01765,0.0,0.0
