player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Lucas Bergvall,Sweden,MF,20,10,0,0.010421969497143463,0.09805,0.0,0.0
Herman Johansson,Sweden,DF,28,3,0,0.004023186754411998,0.0388,0.0,0.0
Gabriel Gudmundsson,Sweden,DF,27,24,0,0.002243964724265339,0.02145,0.0,0.0
Isak Hien,Sweden,DF,27,29,0,0.00239617163385698,0.02235,0.0,0.0
Victor Lindelöf (captain),Sweden,DF,31,76,3,0.03900343129991568,0.3832,1.0,0.0
Gustaf Lagerbielke,Sweden,DF,26,11,2,0.02462190293700143,0.24535,1.0,0.0
Jacob Widell Zetterström,Sweden,GK,27,3,0,8.29020300909139e-05,0.001,0.0,0.0
Omar Rekik,Tunisia,DF,24,6,0,0.004979802576920032,0.01135,0.0,0.0
Jorrel Hato,Netherlands,DF,20,8,0,0.001951367821040098,0.0204,0.0,0.0
Crysencio Summerville,Netherlands,FW,24,2,0,0.031221885136641567,0.30995,1.0,0.0
Mark Flekken,Netherlands,GK,32,12,0,4.088580196464967e-05,0.0007,0.0,0.0
Denzel Dumfries,Netherlands,DF,30,72,11,0.05881331851320854,0.57385,2.0,0.0
Frenkie de Jong,Netherlands,MF,29,66,2,0.014986504865587951,0.14965,1.0,0.0
Teun Koopmeiners,Netherlands,MF,28,28,3,0.0170359414284034,0.16555,1.0,0.0
Brian Brobbey,Netherlands,FW,24,12,1,0.0245314811787898,0.23565,1.0,0.0
Noa Lang,Netherlands,FW,26,15,3,0.03577507671906846,0.34935,1.0,0.0
Guus Til,Netherlands,MF,28,7,1,0.01717203682515286,0.1657,1.0,0.0
Quinten Timber,Netherlands,MF,24,11,1,0.014049848311488705,0.14015,1.0,0.0
Montassar Talbi,Tunisia,DF,28,64,4,0.06615415389119651,0.15575,1.0,0.0
Ali Abdi,Tunisia,DF,32,46,7,0.10544534345414798,0.2467,1.0,0.0
Mouhib Chamakh,Tunisia,GK,24,2,0,0.0001244950644230008,0.0003,0.0,0.0
Taha Ali,Sweden,FW,27,2,0,0.04974121805454834,0.49345,1.0,0.0
Gustaf Nilsson,Sweden,FW,29,10,4,0.08639264188421554,0.8535,2.0,0.0
Elliot Stroud,Sweden,DF,23,1,0,0.004559611655000265,0.04535,0.0,0.0
Kristoffer Nordfeldt,Sweden,GK,36,21,0,5.8519080064174515e-05,0.00045,0.0,0.0
Besfort Zeneli,Sweden,MF,23,8,0,0.011519018917895404,0.1127,1.0,0.0
Benjamin Nygren,Sweden,MF,24,11,3,0.04725415715182092,0.47035,1.0,0.0
Eric Smith,Sweden,DF,29,2,0,0.004274635926562748,0.0419,0.0,0.0
Mattias Svanberg,Sweden,MF,27,41,2,0.031375229849792026,0.3176,1.0,0.0
Yasin Ayari,Sweden,MF,22,21,3,0.03544061786386569,0.3475,1.0,0.0
Jesper Karlström,Sweden,MF,30,25,0,0.007895431437229896,0.0742,0.0,0.0
Carl Starfelt,Sweden,DF,31,18,0,0.002137317963281374,0.0213,0.0,0.0
Hjalmar Ekdal,Sweden,DF,27,13,0,0.002533117586111258,0.024,0.0,0.0
Ken Sema,Sweden,MF,32,33,5,0.06182122815351007,0.5956,2.0,0.0
Viktor Johansson,Sweden,GK,27,12,0,6.513730935714664e-05,0.00045,0.0,0.0
Anthony Elanga,Sweden,FW,24,30,6,0.08745708668931576,0.86525,2.0,0.0
Alexander Bernhardsson,Sweden,DF,27,11,0,0.002735766993000159,0.0253,0.0,0.0
Orkun Kökçü,Turkey,MF,25,50,4,0.036664096883259646,0.1257,1.0,0.0
Salih Özcan,Turkey,MF,28,30,1,0.01227352999323753,0.0454,0.0,0.0
Çağlar Söyüncü,Turkey,DF,30,60,2,0.017000497625768198,0.058,0.0,0.0
Merih Demiral,Turkey,DF,28,62,6,0.04751357401743695,0.16515,1.0,0.0
Zeki Çelik,Turkey,DF,29,61,3,0.024632671646304432,0.08615,0.0,0.0
Mert Günok,Turkey,GK,37,37,0,5.146198175716233e-05,0.0003,0.0,0.0
Alexandro Maidana,Paraguay,DF,20,2,1,0.02708617222781576,0.08175,0.0,0.0
Isidro Pitta,Paraguay,FW,26,5,0,0.04952900064514882,0.14895,1.0,0.0
Waldemar Anton,Germany,DF,29,13,0,0.002253792705749494,0.03735,0.0,0.0
Matías Galarza,Paraguay,MF,24,15,3,0.050671977583113786,0.1587,1.0,0.0
Gastón Olveira,Paraguay,GK,33,1,0,0.0001118396788761425,0.00015,0.0,0.0
Gabriel Ávalos,Paraguay,FW,35,23,2,0.04430093946593867,0.1301,1.0,0.0
Braian Ojeda,Paraguay,MF,25,17,0,0.009905800129029765,0.0288,0.0,0.0
Julio Enciso,Paraguay,FW,22,32,4,0.07215932451715991,0.22245,1.0,0.0
Álex Arce,Paraguay,FW,30,15,1,0.04333787556450522,0.13185,1.0,0.0
Kaku,Paraguay,FW,31,33,6,0.09685671237273547,0.29515,1.0,0.0
Damián Bobadilla,Paraguay,MF,24,19,1,0.020802180270962506,0.0664,0.0,0.0
Gustavo Caballero,Paraguay,MF,24,2,1,0.048005031394528865,0.1466,1.0,0.0
Samet Akaydin,Turkey,DF,32,19,1,0.009354089743022289,0.032,0.0,0.0
Oğuz Aydın,Turkey,FW,25,11,0,0.024694796921578846,0.0897,0.0,0.0
Uğurcan Çakır,Turkey,GK,30,39,0,5.267142903700163e-05,0.00015,0.0,0.0
Kaan Ayhan,Turkey,MF,31,73,5,0.04697114562711807,0.16515,1.0,0.0
Barış Alper Yılmaz,Turkey,FW,26,35,4,0.044476049344181444,0.15115,1.0,0.0
Ferdi Kadıoğlu,Turkey,DF,26,30,2,0.014295873003486895,0.04765,0.0,0.0
Yunus Akgün,Turkey,FW,25,19,4,0.05291742197481181,0.18305,1.0,0.0
Mert Müldür,Turkey,DF,27,45,3,0.023099546209024022,0.07945,0.0,0.0
Kerem Aktürkoğlu,Turkey,FW,27,52,15,0.13504609018667305,0.47395,1.0,0.0
İsmail Yüksek,Turkey,MF,27,32,1,0.012482846008626074,0.04095,0.0,0.0
Ozan Kabak,Turkey,DF,26,30,2,0.014295873003486895,0.0493,0.0,0.0
Abdülkerim Bardakcı,Turkey,DF,31,27,2,0.013807721242392221,0.05135,0.0,0.0
Eren Elmalı,Turkey,DF,25,23,0,0.0016685673595661383,0.0051,0.0,0.0
Altay Bayındır,Turkey,GK,28,12,0,5.879713552756868e-05,0.00025,0.0,0.0
Kenan Yıldız,Turkey,FW,21,28,5,0.04936440792074914,0.1691,1.0,0.0
Hakan Çalhanoğlu (captain),Turkey,MF,32,105,22,0.19232057199173636,0.6732,2.0,0.0
Deniz Gül,Turkey,FW,21,8,2,0.05810540452136199,0.2026,1.0,0.0
Arda Güler,Turkey,FW,21,29,6,0.05689367314604063,0.19535,1.0,0.0
İrfan Can Kahveci,Turkey,FW,30,47,6,0.06256902724065798,0.22265,1.0,0.0
Cristian Volpato,Australia,FW,22,1,0,0.053314307482763994,0.41865,1.0,0.0
Harry Souttar,Australia,DF,27,38,11,0.08348669028894361,0.6485,2.0,0.0
Patrick Beach,Australia,GK,22,2,0,8.330360544181873e-05,0.00055,0.0,0.0
Nestory Irankunda,Australia,FW,20,15,5,0.07775003174569749,0.60705,2.0,0.0
Aziz Behich,Australia,DF,35,84,3,0.028289224378609465,0.22155,1.0,0.0
Kai Trewin,Australia,DF,25,6,0,0.0033321442176727496,0.02645,0.0,0.0
Cammy Devlin,Australia,MF,28,5,0,0.013328576870690998,0.10655,1.0,0.0
Aiden O'Neill,Australia,MF,27,31,0,0.005996348415294998,0.05015,0.0,0.0
Gustavo Gómez (captain),Paraguay,DF,33,89,4,0.056587016810439185,0.17295,1.0,0.0
Awer Mabil,Australia,FW,30,38,10,0.09852613662468238,0.7766,2.0,0.0
Ajdin Hrustic,Australia,FW,29,37,4,0.04900942551210603,0.3878,1.0,0.0
Mohamed Touré,Australia,FW,22,10,2,0.056120323666067354,0.443,1.0,0.0
Connor Metcalfe,Australia,MF,26,36,1,0.014001082572981181,0.1095,1.0,0.0
Jason Geria,Australia,DF,33,14,0,0.002380103012623392,0.0184,0.0,0.0
Jordan Bos,Australia,DF,23,27,4,0.02842191304830275,0.22415,1.0,0.0
Jacob Italiano,Australia,DF,24,5,0,0.0035075202291292096,0.02885,0.0,0.0
Alessandro Circati,Australia,DF,22,13,1,0.012341274880269442,0.0973,0.0,0.0
Miloš Degenek,Australia,DF,32,57,1,0.01019086360334523,0.077,0.0,0.0
Paul Izzo,Australia,GK,31,4,0,7.840339335700588e-05,0.00105,0.0,0.0
Andrés Cubas,Paraguay,MF,30,33,0,0.009245413453761115,0.0282,0.0,0.0
José Canale,Paraguay,DF,29,2,0,0.005417234445563152,0.0159,0.0,0.0
Orlando Gill,Paraguay,GK,26,6,0,9.630639014334494e-05,0.00035,0.0,0.0
Maurício,Paraguay,MF,24,3,0,0.01981160025805953,0.0625,0.0,0.0
Miguel Almirón,Paraguay,MF,32,76,10,0.14537615637638165,0.44275,1.0,0.0
Antonio Sanabria,Paraguay,FW,30,48,7,0.11678416994224565,0.35835,1.0,0.0
Diego Gómez,Paraguay,MF,23,24,3,0.04015150985633398,0.12865,1.0,0.0
Ramón Sosa,Paraguay,MF,26,29,1,0.020108774261930425,0.0633,0.0,0.0
Cameron Burgess,Australia,DF,30,27,0,0.001671877238135456,0.01355,0.0,0.0
Fabián Balbuena,Paraguay,DF,34,48,2,0.0268415229302742,0.0837,0.0,0.0
Juan José Cáceres,Paraguay,DF,26,17,0,0.0027959919719035627,0.0094,0.0,0.0
Omar Alderete,Paraguay,DF,29,36,3,0.03605711246966835,0.1082,1.0,0.0
Gustavo Velázquez,Paraguay,DF,35,13,1,0.016051065023890823,0.0501,0.0,0.0
Gatito Fernández,Paraguay,GK,38,31,0,7.83081467395067e-05,0.00025,0.0,0.0
Tete Yengi,Australia,FW,25,1,1,0.07997146122414599,0.6265,2.0,0.0
Lucas Herrington,Australia,DF,18,4,0,0.0037023824640808325,0.0295,0.0,0.0
Paul Okon-Engstler,Australia,MF,21,6,0,0.012544542937120939,0.09945,0.0,0.0
Nishan Velupillay,Australia,FW,25,7,3,0.08330360544181874,0.6579,2.0,0.0
Júnior Alonso,Paraguay,DF,33,71,3,0.04183096381285053,0.12775,1.0,0.0
Anthony Valencia,Ecuador,MF,22,3,1,0.0312168957043147,0.2186,1.0,0.0
Pervis Estupiñán,Ecuador,DF,28,54,5,0.03819825473252714,0.26535,1.0,0.0
Willian Pacho,Ecuador,DF,24,34,2,0.014602242880556008,0.1058,1.0,0.0
Jordy Alcívar,Ecuador,MF,26,11,1,0.019865297266382077,0.13915,1.0,0.0
Joel Ordóñez,Ecuador,DF,22,17,0,0.001958049013711495,0.01465,0.0,0.0
Piero Hincapié,Ecuador,DF,24,52,3,0.02346076336840371,0.16225,1.0,0.0
Félix Torres,Ecuador,DF,29,49,5,0.03741228241292781,0.2582,1.0,0.0
Hernán Galíndez,Ecuador,GK,39,35,0,4.933487790715755e-05,0.00025,0.0,0.0
Can Uzun,Turkey,FW,20,6,1,0.04938959384315769,0.1699,1.0,0.0
Tyrick Bodak,Curaçao,GK,24,4,0,6.735016544448862e-05,0.0001,0.0,0.0
Deveron Fonville,Curaçao,DF,23,2,0,0.0035779775392384577,0.0068,0.0,0.0
Riechedly Bazoer,Curaçao,DF,29,5,0,0.0030130337172534377,0.0061,0.0,0.0
Kevin Felida,Curaçao,MF,26,19,1,0.014304068014402075,0.029,0.0,0.0
Tahith Chong,Curaçao,MF,26,6,3,0.05118612573781134,0.10695,1.0,0.0
Joshua Brenet,Curaçao,DF,32,18,2,0.01610089892657306,0.0321,0.0,0.0
Gervane Kastaneer,Curaçao,FW,30,29,9,0.10533235680042155,0.21635,1.0,0.0
Armando Obispo,Curaçao,DF,27,6,0,0.0028623820313907664,0.0053,0.0,0.0
Brandley Kuwas,Curaçao,FW,33,35,2,0.03992363480893721,0.07725,0.0,0.0
Trevor Doornbusch,Curaçao,GK,26,8,0,6.026067434506876e-05,0.0001,0.0,0.0
Antonio Rüdiger,Germany,DF,33,82,3,0.021622887218960645,0.35065,1.0,0.0
Manuel Neuer,Germany,GK,40,124,0,6.271748969433191e-05,0.00085,0.0,0.0
Yaimar Medina,Ecuador,DF,21,6,0,0.0030349759712528174,0.0226,0.0,0.0
Jackson Porozo,Ecuador,DF,25,10,1,0.012645733213553407,0.08555,0.0,0.0
Jeremy Arévalo,Ecuador,FW,21,4,0,0.037353550415419295,0.25645,1.0,0.0
Moisés Caicedo,Ecuador,MF,24,61,3,0.029497166882029476,0.2121,1.0,0.0
Gonzalo Valle,Ecuador,GK,30,4,0,7.141119932359571e-05,0.0004,0.0,0.0
Alan Franco,Ecuador,MF,27,58,1,0.013862794264098185,0.09535,0.0,0.0
John Yeboah,Ecuador,FW,25,23,3,0.03793719964066022,0.2703,1.0,0.0
Gonzalo Plata,Ecuador,FW,25,50,8,0.07764569162143439,0.54635,2.0,0.0
Denil Castillo,Ecuador,MF,22,5,0,0.01213990388501127,0.0827,0.0,0.0
Ángelo Preciado,Ecuador,DF,28,55,0,0.0018257990529822802,0.01185,0.0,0.0
Jordy Caicedo,Ecuador,FW,28,20,4,0.050234085041425944,0.3486,1.0,0.0
Pedro Vite,Ecuador,MF,24,17,1,0.01560844785215735,0.11245,1.0,0.0
Alan Minda,Ecuador,MF,23,20,2,0.021930148953568745,0.15265,1.0,0.0
Moisés Ramírez,Ecuador,GK,25,7,0,6.5621102081142e-05,0.00075,0.0,0.0
Kevin Rodríguez,Ecuador,FW,26,31,2,0.028402793995120707,0.2026,1.0,0.0
Kendry Páez,Ecuador,MF,19,26,2,0.018373908582719756,0.1307,1.0,0.0
Nilson Angulo,Ecuador,FW,22,14,2,0.04222575264351746,0.29585,1.0,0.0
Mark McKenzie,United States,DF,27,29,0,0.0013932821665090683,0.01545,0.0,0.0
Timothy Weah,United States,FW,26,51,7,0.06321657498940111,0.7133,2.0,0.0
Folarin Balogun,United States,FW,24,27,9,0.06817473773366788,0.78165,2.0,0.0
Haji Wright,United States,FW,28,20,7,0.05577933087300098,0.6331,2.0,0.0
Max Arfsten,United States,DF,25,20,1,0.006607845569105509,0.07395,0.0,0.0
Malik Tillman,United States,MF,24,30,3,0.02297685174172398,0.26245,1.0,0.0
Alex Freeman,United States,DF,21,17,2,0.01304516609126636,0.1433,1.0,0.0
Cristian Roldan,United States,MF,31,47,0,0.005357095378862931,0.0633,0.0,0.0
Jearl Margaritha,Curaçao,FW,26,22,5,0.06233238466943745,0.12885,1.0,0.0
Tim Ream (captain),United States,DF,38,82,1,0.008823119466794135,0.10195,0.0,0.0
Miles Robinson,United States,DF,29,40,3,0.019893862862798702,0.22515,1.0,0.0
Weston McKennie,United States,MF,27,66,12,0.09066354732373492,1.0315,2.0,0.0
Auston Trusty,United States,DF,27,8,0,0.0020424249940871574,0.0234,0.0,0.0
Antonee Robinson,United States,DF,28,54,5,0.034451939656853545,0.38905,1.0,0.0
Tyler Adams,United States,MF,27,54,2,0.01922241556238803,0.21785,1.0,0.0
Chris Richards,United States,DF,26,36,3,0.01933683470264034,0.21825,1.0,0.0
Sergiño Dest,United States,DF,25,39,3,0.019762488296723616,0.22355,1.0,0.0
Matt Turner,United States,GK,31,54,0,5.312317226000094e-05,0.00045,0.0,0.0
Sebastian Berhalter,United States,MF,25,13,1,0.013480004960975237,0.15985,1.0,0.0
Ar'jany Martha,Curaçao,MF,22,9,2,0.03205867875157658,0.0663,0.0,0.0
Kenji Gorré,Curaçao,FW,31,38,6,0.08115783270582737,0.1626,1.0,0.0
Tyrese Noslin,Curaçao,FW,23,7,1,0.042935730470861494,0.0863,0.0,0.0
Sontje Hansen,Curaçao,FW,24,6,1,0.04579811250225226,0.09515,0.0,0.0
Jeremy Antonisse,Curaçao,FW,24,27,4,0.05646342637263976,0.1175,1.0,0.0
Leandro Bacuna (captain),Curaçao,MF,34,72,16,0.1828598675778984,0.3749,1.0,0.0
Jürgen Locadia,Curaçao,FW,32,13,1,0.031225985796990173,0.06335,0.0,0.0
Livano Comenencia,Curaçao,MF,22,20,2,0.022666321697977252,0.04635,0.0,0.0
Joe Scally,United States,DF,23,26,0,0.0013428357432389126,0.01665,0.0,0.0
Godfried Roemeratoe,Curaçao,MF,26,28,1,0.01621513783009142,0.0336,0.0,0.0
Sherel Floranus,Curaçao,DF,27,28,0,0.0020912380138014726,0.00425,0.0,0.0
Roshon van Eijma,Curaçao,DF,28,28,1,0.010456190069007365,0.02175,0.0,0.0
Juriën Gaari,Curaçao,DF,32,60,1,0.012716987921765713,0.02655,0.0,0.0
Shurandy Sambo,Curaçao,DF,24,8,0,0.0026021654830825146,0.00495,0.0,0.0
Eloy Room,Curaçao,GK,37,71,0,8.820469246330965e-05,0.0003,0.0,0.0
Alejandro Zendejas,United States,FW,28,14,2,0.03125798251820345,0.36175,1.0,0.0
Chris Brady,United States,GK,22,1,0,5.797851596118381e-05,0.0006,0.0,0.0
Matt Freese,United States,GK,27,15,0,3.994075543992663e-05,0.00045,0.0,0.0
Juninho Bacuna,Curaçao,MF,28,49,15,0.16190364702851004,0.32705,1.0,0.0
